MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	102.54224	Sec	7/5/2010 1:24:13 PM
Axial Displacement	Axial Force	Axial Strain	Time
mm	N	mm/mm	Sec
-0.00026330218	-1.8350854	-0.18667221	28.766846
-8.5456821e-05	-1.1994553	-0.18659212	28.866943
0.00075893983	0.010624844	-0.18657194	28.967041
0.00056253135	0.58010209	-0.18662283	29.067139
0.00015500322	-0.0411686	-0.18669692	29.167236
0.00017647579	-1.0279155	-0.18674253	29.267334
-0.00048429758	-1.8527886	-0.18672416	29.367432
-0.00055051834	-1.7347965	-0.18664809	29.467529
0.00071316719	-0.89436203	-0.18657817	29.567627
0.00096071645	0.17220239	-0.18658429	29.667725
0.00082696363	0.082331397	-0.18664336	29.767822
0.00034059345	-0.48921922	-0.18671598	29.86792
-0.00042459235	-1.524433	-0.1867473	29.968018
0.00011468068	-1.9820985	-0.18670852	30.068115
0.00022187963	-1.8709245	-0.18662558	30.168213
-2.5423766e-05	-0.81914681	-0.18657784	30.268311
0.00052892923	0.083083265	-0.18658829	30.368408
0.00088449701	0.3989532	-0.18666716	30.468506
0.00028301909	-0.68691492	-0.18673396	30.568604
-0.00013610587	-1.6102258	-0.18674487	30.668701
0.0006838268	-1.9319227	-0.18668763	30.768799
2.9446035e-05	-1.7087545	-0.18660921	30.868896
0.00024876132	-0.44517228	-0.18657418	30.968994
7.4358133e-05	0.38787454	-0.18661292	31.069092
0.00098382821	-0.010273667	-0.18668738	31.169189
0.00026105478	-1.1068957	-0.18674351	31.269287
4.3706445e-05	-1.7806035	-0.1867325	31.369385
-4.759297e-05	-1.8789445	-0.1866606	31.469482
0.0013603768	-1.2021666	-0.18659811	31.56958
0.0010428368	-0.16023144	-0.18657894	31.669678
0.00044812023	0.18477908	-0.18662293	31.769775
0.00044271111	-0.23346451	-0.18670851	31.869873
9.779766e-05	-1.4580808	-0.1867476	31.969971
4.8951653e-05	-1.9588817	-0.18672276	32.070068
-0.00058924273	-1.8157135	-0.18664852	32.170166
0.00030022993	-1.0226524	-0.186588	32.270264
0.00025417045	-0.068423808	-0.18658958	32.370361
0.0002843304	0.21916565	-0.18665093	32.470459
-5.7755562e-05	-0.51697564	-0.18672299	32.570557
-0.00013938412	-1.415583	-0.18674944	32.670654
0.00073205814	-2.1285305	-0.18670884	32.770752
0.00011877849	-1.6772844	-0.18662709	32.87085
5.9114245e-05	-0.72811383	-0.18658563	32.970947
0.00060137868	0.0096223531	-0.18659845	33.071045
0.00083663448	0.33744815	-0.18667664	33.171143
0.0011029928	-0.69835812	-0.18671288	33.27124
0.00041500985	-1.6755528	-0.18674731	33.371338
0.00022286311	-2.1178391	-0.18670517	33.471436
3.813341e-05	-1.6072866	-0.18660009	33.571533
0.0004605776	-0.54502261	-0.18657269	33.671631
0.00071480632	0.28073338	-0.18661687	33.771729
5.763903e-05	-0.044403911	-0.18668413	33.871826
0.00059957564	-1.0656513	-0.18673991	33.971924
0.00040173292	-1.8383209	-0.18672389	34.072021
-0.00073778868	-2.2103531	-0.18665631	34.172119
-0.0011000768	-1.3215426	-0.18659291	34.272217
0.0012995652	-0.52695501	-0.18657507	34.372314
0.00066563248	0.25159281	-0.18663077	34.472412
-0.00040902063	-0.32082927	-0.18671107	34.57251
0.00035501778	-1.7139721	-0.18675222	34.672607
0.00016549363	-2.3400559	-0.18671669	34.772705
-0.00092514098	-2.1128495	-0.18664129	34.872803
0.00062006473	-1.3403167	-0.18658012	34.9729
0.00086335227	-0.016151905	-0.1865897	35.072998
0.00043140113	-0.030596882	-0.18664993	35.173096
0.0011800728	-0.86210012	-0.18672569	35.273193
-0.00065681577	-1.6892915	-0.18674292	35.373291
-8.2834216e-05	-2.2318213	-0.18669924	35.473389
0.00020106271	-1.5855223	-0.1866184	35.573486
-0.00018331275	-0.81064844	-0.18657678	35.673584
-0.00010201201	0.0077312915	-0.18659575	35.773682
9.9928526e-05	-0.26985604	-0.18666999	35.873779
-8.2129254e-06	-0.991934	-0.18673633	35.973877
0.0001123859	-1.8853296	-0.18673563	36.073975
0.00015631452	-2.3105223	-0.1866776	36.174072
0.0011405698	-1.4336565	-0.18660723	36.27417
0.00087367877	-0.30786526	-0.1865723	36.374268
0.00039484858	-0.0066965977	-0.18661596	36.474365
0.00014533236	-0.54705036	-0.18669435	36.574463
0.00068267941	-1.2098902	-0.18674643	36.674561
-1.4277698e-05	-2.1278014	-0.18672885	36.774658
-0.00014692411	-2.3185194	-0.18666399	36.874756
0.00037993252	-1.5554703	-0.18659955	36.974854
-0.00083285809	-0.37091395	-0.18658495	37.074951
-0.00059235707	-0.24941322	-0.18663713	37.175049
0.00081614539	-0.76619142	-0.18671668	37.275146
-0.00051757187	-1.3912954	-0.18674994	37.375244
1.2931822e-05	-2.4948211	-0.18671703	37.475342
-0.00027264521	-2.2682981	-0.18663134	37.575439
-0.0004162328	-1.5019226	-0.18658522	37.675537
-0.00080122292	-0.96766919	-0.18658914	37.775635
0.0002818717	-0.72656453	-0.18665639	37.875732
0.00072070718	-1.2160418	-0.18672603	37.97583
8.3209423e-05	-2.2017407	-0.18674716	38.075928
-0.00063435972	-2.5745761	-0.18669133	38.176025
0.00051745534	-2.3648219	-0.18661396	38.276123
0.00047434628	-1.4124161	-0.18657765	38.376221
-0.00017282233	-0.48785219	-0.18660364	38.476318
-7.004902e-05	-0.56794894	-0.18667713	38.576416
-0.00061583758	-1.5794163	-0.18674199	38.676514
-0.001013367	-2.4681354	-0.18673682	38.776611
-0.00089580059	-2.812736	-0.18667729	38.876709
-0.00042873115	-2.2860069	-0.18660156	38.976807
0.00063547253	-1.3275348	-0.18657443	39.076904
0.00073435291	-1.5086666	-0.18662582	39.177002
-0.00036033854	-2.2294745	-0.1867085	39.2771
0.00075385853	-0.86574554	-0.18674707	39.377197
0.0012936643	3.7145026	-0.18670757	39.477295
0.001452168	10.282986	-0.18661101	39.577393
0.0027400306	20.026926	-0.18650766	39.67749
0.0039262264	28.335289	-0.18647839	39.777588
0.0051998696	37.312855	-0.18651506	39.877686
0.0059375181	44.761642	-0.18656985	39.977783
0.0059824302	50.522072	-0.18656619	40.077881
0.006463924	55.707523	-0.18650283	40.177979
0.0072740628	63.386715	-0.18639851	40.278076
0.0085720876	70.592354	-0.18632559	40.378174
0.0088068107	75.957932	-0.18632023	40.478271
0.010795155	83.916893	-0.18636665	40.578369
0.013051537	87.458138	-0.1864178	40.678467
0.013097105	93.159073	-0.18640752	40.778564
0.011672006	99.504158	-0.18631682	40.878662
0.013493487	106.44198	-0.18621281	40.97876
0.01487523	113.2821	-0.18615516	41.078857
0.015576736	119.59232	-0.18616796	41.178955
0.016462276	124.58182	-0.18623218	41.279053
0.017433049	128.88329	-0.18627912	41.37915
0.017668961	132.96674	-0.18625104	41.479248
0.017690105	137.77306	-0.18615502	41.579346
0.019459257	143.9827	-0.18605711	41.679443
0.01998763	149.29097	-0.18602699	41.779541
0.020486293	156.30879	-0.186051	41.879639
0.021816773	160.15384	-0.18611033	41.979736
0.021652	165.25337	-0.18613227	42.079834
0.022494962	168.29451	-0.18608175	42.179932
0.023890065	174.57016	-0.18598796	42.280029
0.025084907	179.41124	-0.18590654	42.380127
0.026423132	186.01106	-0.18587668	42.480225
0.026252417	191.11263	-0.18592533	42.580322
0.027672885	194.45999	-0.18598284	42.68042
0.027696816	198.26129	-0.18599491	42.780518
0.028478106	202.0153	-0.18593046	42.880615
0.028940586	206.36104	-0.18583371	42.980713
